微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Jz3n1eYOR,[置顶]2020年#弱智吧年度精选#  [组图共18张] 原图 ,,"http://ww2.sinaimg.cn/large/006gMemDgy1gls5vg82o4j30ri38n14v.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vhv358j30ri3ocdve.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vj4djmj30ri38n152.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vkesnqj30ri36samd.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5vlk5j2j30ri3dvn82.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vn25alj30ri3jhtmq.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vo077gj30ri29kjzu.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vpevjyj30ri2iwn7i.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vqrnzhj30ri2f512h.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vt8ksyj30ri2i5wo6.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vueumfj30ri2f5k11.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vvr4jnj30ri2bf7cq.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5wej2lbj30ri2h0k1n.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5wfpxhkj30ri2f5n79.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5wgkw0oj30ri2j9dpj.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5whn0z5j30ri2i5gvm.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5winkz0j30ri2heajy.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5wjokiuj30ri2dak13.jpg",无,无,2020-12-18 18:00,病床底下的Android,16468,16020,2370
JBLHVwiSK,由于不满出场bgm，腹中胎儿决定不配合医生接生。——@来龙去脉的小哪吒  ,,无,无,无,2021-01-05 14:32,微博 weibo.com,399,1,42
JBLjzv9yh,十六岁少女自称年方二八，是装嫩还是装熟？——@夜之城第一赛博巴图鲁  ,,无,无,无,2021-01-05 13:33,微博 weibo.com,920,5,56
JBL8Y3arr,为了不留下遗憾 我带着遗憾离开了那个地方——@吴洋哇  ,,无,无,无,2021-01-05 13:06,病床底下的Android,1103,61,70
JBKVdzrJ0,自从知道枪打出头鸟以后，我出门都会穿上裤子。 ——阿拉伯安图  ,,无,无,无,2021-01-05 12:33,微博 weibo.com,560,3,48
JBKO2ihyK,夫妻本是同林鸟，大难临头各自冷静一个月再飞。——@WithMeNow  ,,无,无,无,2021-01-05 12:15,微博 weibo.com,1339,51,41
JBKF1gg1k,黄宏：80！80！80！范冰冰：80？什么是80！ ——@守护最好的谐音梗  ,,无,无,无,2021-01-05 11:53,微博 weibo.com,961,17,105
JBKwRCFc4,我种的向日葵快死了，请问去医院看哪个科？ ——绫o零  ,,无,无,无,2021-01-05 11:33,微博 weibo.com,932,6,75
JBKnik9z4,读一本好书，就会读很多的字。——@来龙去脉的小哪吒  ,,无,无,无,2021-01-05 11:09,微博 weibo.com,537,4,64
JBKir9pN3,把体温计摔碎，里面就是你的体温。——躲在黑夜的殺手  ,,无,无,无,2021-01-05 10:57,微博 weibo.com,852,19,65
JBJYzdSjv,月亮说：我又熬了一个通宵。——@Vinta__  ,,无,无,无,2021-01-05 10:08,病床底下的Android,416,9,53
JBFOCm9Sv,武松喝了十八碗酒打死了一只老虎，如果有两个武松是不是就可以打死两只老虎了？——@来龙去脉的小哪吒  ,,无,无,无,2021-01-04 23:33,微博 weibo.com,4772,207,183
JBFqgnbYf,小王同学在考研吧已经当上了吧主，可他还没有考上研究生 ——阿鲁巴巴11  ,,无,无,无,2021-01-04 22:33,微博 weibo.com,4134,42,114
JBF1UsBzh,手工达人小王发明的文字识别机器总是将“纹”字认成“别”字。原来小王发明的是一台指纹识别机。——Alatie  ,,无,无,无,2021-01-04 21:33,微博 weibo.com,909,40,73
JBESYE4jY,在法医王老汉的酷刑之下，尸体终于交代了自杀的全过程 ——混沌风暴  ,,无,无,无,2021-01-04 21:11,微博 weibo.com,746,11,39
JBEDyswmN,专家称经常拉屎有助于排便 ——末将hz  ,,无,无,无,2021-01-04 20:33,微博 weibo.com,751,21,80
JBEfcvKh3,市三中派人除掉了二中于是他们变成了1.5中——1sdw1sdw  ,,无,无,无,2021-01-04 19:33,微博 weibo.com,1183,27,91
JBE5g9fKU,冬天手脚冰凉穿了很厚的衣服袜子手套都没用，你们的尸体也这样吗？——@天空之城在Gucci  ,,无,无,无,2021-01-04 19:08,病床底下的Android,824,10,35
JBDQQuBiK,十年树木，百年树人，九十年树负十——@炸过的花椒实在是太难吃了  ,,无,无,无,2021-01-04 18:33,微博 weibo.com,833,24,58
JBDsuzZ6u,“一日为师，终身为父！”，被叫家长的小明拿着AV光盘如是说道。——工藤不爱服部  ,,无,无,无,2021-01-04 17:33,微博 weibo.com,771,5,56
JBD49eQrL,“老虎”的“虎”怎么写？“众”——基里科夫斯基  ,,无,无,无,2021-01-04 16:33,微博 weibo.com,1776,33,94
JBCFMC1Ho,猎人猎的是动物，为什么不叫猎物？ ——妖妖客  ,,无,无,无,2021-01-04 15:33,微博 weibo.com,998,12,72
JBChqBYtF,歹徒被抓后，背部瘙痒的症状得到明显缓解——@一只筐  ,,无,无,无,2021-01-04 14:33,微博 weibo.com,1050,15,51
